	iYLI649_ID	iYLI649_Name	iYali_ID	iYali_Name	iYli21_ID	iYli21_Name
25	ADK1	adenylate kinase	y000148	adenylate kinase	R121	adenylate kinase
26	ADK3	adentylate kinase GTP	y000150	adenylate kinase (GTP)	R123	adenylate kinase (GTP)
27	ADK3m	adentylate kinase GTP	y000150	adenylate kinase (GTP)	R123	adenylate kinase (GTP)
28	ADK4	adentylate kinase ITP	y000150	adenylate kinase (GTP)	R123	adenylate kinase (GTP)
29	ADMDC	adenosylmethionine decarboxylase	y000145	adenosylmethionine decarboxylase	R118	adenosylmethionine decarboxylase
30	ADNCYC	adenylate cyclase	y000147	adenylate cyclase	R120	adenylate cyclase
31	ADNK1	adenosine kinase	y000142	adenosine kinase	R115	adenosine kinase
32	ADPT	adenine phosphoribosyltransferase	y000139	adenine phosphoribosyltransferase	R114	adenine phosphoribosyltransferase
33	CBPS	carbamoyl phosphate synthase glutamine hydrolysing	y000250	carbamoyl-phosphate synthase (glutamine-hydrolysing)	R190	carbamoyl-phosphate synthase (glutamine-hydrolysing)
34	CBPSn	carbamoyl phosphate synthase glutamine hydrolysing nuclear	y000250	carbamoyl-phosphate synthase (glutamine-hydrolysing)	R190	carbamoyl-phosphate synthase (glutamine-hydrolysing)
35	ADSL1r	adenylsuccinate lyase	y000152	adenylosuccinate lyase	R125	adenylosuccinate lyase
36	ADSL2r	adenylosuccinate lyase	y000152	adenylosuccinate lyase	R125	adenylosuccinate lyase
37	ADSS	adenylosuccinate synthase	y000153	adenylosuccinate synthase	R126	adenylosuccinate synthase
38	G5SD2	glutamate 5 semialdehyde dehydrogenase	y000473	glutamate-5-semialdehyde dehydrogenase	R332	glutamate-5-semialdehyde dehydrogenase
39	G5SD	glutamate 5 semialdehyde dehydrogenase	y000473	glutamate-5-semialdehyde dehydrogenase	R332	glutamate-5-semialdehyde dehydrogenase
40	AHCi	adenosylhomocysteinase	y000144	adenosylhomocysteinase	R117	adenosylhomocysteinase
41	AHSERL	O acetylhomoserine thiol lyase	y000812	O-acetylhomoserine (thiol)-lyase	R604	O-acetylhomoserine (thiol)-lyase
42	AHSERL2	O acetylhomoserine thiol lyase	y000812	O-acetylhomoserine (thiol)-lyase	R604	O-acetylhomoserine (thiol)-lyase
43	GLU5K	glutamate 5 kinase	y000468	glutamate 5-kinase	R327	glutamate 5-kinase
44	AICART	phosphoribosylaminoimidazolecarboxamide formyltransferase	y000912	phosphoribosylaminoimidazolecarboxamide formyltransferase	R654	phosphoribosylaminoimidazolecarboxamide formyltransferase
45	AIRCr	phosphoribosylaminoimidazole carboxylase	y000911	phosphoribosylaminoimidazole-carboxylase	R653	phosphoribosylaminoimidazole-carboxylase
46	AKGDam	oxoglutarate dehydrogenase lipoamide	y000832	oxoglutarate dehydrogenase (lipoamide)	R614	oxoglutarate dehydrogenase (lipoamide)
47	AKGDbm	oxoglutarate dehydrogenase dihydrolipoamide S succinyltransferase	y000831	oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)	R613	oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)
48	AKGMAL	alpha ketoglutaratemalate transporter	y001652	alpha-ketoglutarate/malate transporter	R1015	alpha-ketoglutarate/malate transporter
49	AKP1	alkaline phosphatase Dihydroneopterin	y000188	alkaline phosphatase (dihydroneopterin)	R137	alkaline phosphatase (dihydroneopterin)
50	ALASm	5 aminolevulinate synthase	y000081	5-aminolevulinate synthase	R61	5-aminolevulinate synthase
51	ALATA_L	L alanine transaminase	y000674	L-alanine transaminase	R502	L-alanine transaminase
52	ALATA_Lm	L alanine transaminase mitochondrial	y001088	valine transaminase, mitochondiral	R797	valine transaminase, mitochondiral
53	ALATRS	Alanyl tRNA synthetase	y000157	alanyl-tRNA synthetase	R129	alanyl-tRNA synthetase
54	ALCD19y	alcohol dehydrogenase glycerol NADP	y000164	alcohol dehydrogenase (glycerol, NADP)	R131	alcohol dehydrogenase (glycerol, NADP)
55	ALDD19x	aldehyde dehydrogenase phenylacetaldehyde NAD	y000185	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	R134	aldehyde dehydrogenase (acetaldehyde, NADP)
56	ALDD20y	aldehyde dehydrogenase indole 3 acetaldehyde NADP	y000177	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)		
57	ALDD2y	aldehyde dehydrogenase acetaldehyde NADP	y000173	aldehyde dehydrogenase (acetaldehyde, NADP)	R134	aldehyde dehydrogenase (acetaldehyde, NADP)
58	ALPHNH	allophanate hydrolase	y000191	allophanate hydrolase	R140	allophanate hydrolase
59	AMAOTr	adenosylmethionine 8 amino 7 oxononanoate transaminase	y000146	adenosylmethionine-8-amino-7-oxononanoate transaminase	R119	adenosylmethionine-8-amino-7-oxononanoate transaminase
60	AMID	amidase	y000199	amidase	R144	amidase
61	AMID2	amidase	y000199	amidase	R144	amidase
62	AMID3	amidase	y000199	amidase	R144	amidase
63	AMPDA	Adenosine monophosphate deaminase	y000143	adenosine monophosphate deaminase	R116	adenosine monophosphate deaminase
64	ARAB1D1	D arabinose 1 dehydrogenase NAD	y000320	D-arabinose 1-dehydrogenase (NAD)	R254	D-arabinose 1-dehydrogenase (NAD)
65	ARAB1D2	D arabinose 1 dehydrogenase NADP	y000321	D-arabinose 1-dehydrogenase (NADP)	R255	D-arabinose 1-dehydrogenase (NADP)
66	ARABR	arabinose reductase	y000205	arabinose reductase	R150	arabinose reductase
67	ARGN	arginase	y000206	arginase	R151	arginase
68	P5CR	pyrroline 5 carboxylate reductase	y000957	pyrroline-5-carboxylate reductase	R689	pyrroline-5-carboxylate reductase
69	ARGTRS	Arginyl tRNA synthetase	y000209	arginyl-tRNA synthetase	R154	arginyl-tRNA synthetase
70	ARGTRSm	Arginyl tRNA synthetase mitochondrial	y000213	asparaginyl-tRNA synthetase, miotchondrial	R158	asparaginyl-tRNA synthetase, miotchondrial
71	ASNTRSm	asparaginyl tRNA synthetase miotchondrial	y000213	asparaginyl-tRNA synthetase, miotchondrial	R158	asparaginyl-tRNA synthetase, miotchondrial
72	ASPTRSm	Aspartyl tRNA synthetase mitochondrial	y000213	asparaginyl-tRNA synthetase, miotchondrial	R158	asparaginyl-tRNA synthetase, miotchondrial
73	ARMT	hnRNP arginine N methyltransferase	y000541	hnRNP arginine N-methyltransferase	R394	hnRNP arginine N-methyltransferase
74	CSm	citrate synthase	y000300	citrate synthase	R236	citrate synthase
75	CSp	citrate synthase	y000300	citrate synthase	R236	citrate synthase
76	ASNS1	asparagine synthase glutamine hydrolysing	y000211	asparagine synthase (glutamine-hydrolysing)	R156	asparagine synthase (glutamine-hydrolysing)
77	ASNTRS	Asparaginyl tRNA synthetase	y000212	Asparaginyl-tRNA synthetase	R157	Asparaginyl-tRNA synthetase
78	ICDHxm	Isocitrate dehydrogenase NAD	y000658	isocitrate dehydrogenase (NAD+)	R487	isocitrate dehydrogenase (NAD+)
79	ICDHym	Isocitrate dehydrogenase NADP	y000659	isocitrate dehydrogenase (NADP)	R488	isocitrate dehydrogenase (NADP)
80	ICDHy	isocitrate dehydrogenase NADP	y000659	isocitrate dehydrogenase (NADP)	R488	isocitrate dehydrogenase (NADP)
81	ICDHyp	Isocitrate dehydrogenase NADP	y000659	isocitrate dehydrogenase (NADP)	R488	isocitrate dehydrogenase (NADP)
82	ASPTA	aspartate transaminase	y000216	aspartate transaminase	R161	aspartate transaminase
83	ASPTAm	aspartate transaminase	y000216	aspartate transaminase	R161	aspartate transaminase
84	ASPTRS	Aspartyl tRNA synthetase	y000220	Aspartyl-tRNA synthetase	R165	Aspartyl-tRNA synthetase
85	ATPCitL	ATP Citrate Lyase YL	y200003	ATP-citrate lyase	R1894	ATP-citrate lyase
86	ATPATF1	ATP adenylyltransferase	y000222	ATP adenylyltransferase	R167	ATP adenylyltransferase
87	ATPATF2	ATP adenylyltransferase	y000222	ATP adenylyltransferase	R167	ATP adenylyltransferase
88	ATPATF3	ATP adenylyltransferase	y000222	ATP adenylyltransferase	R167	ATP adenylyltransferase
89	ATPPRT	ATP phosphoribosyltransferase	y000225	ATP phosphoribosyltransferase	R170	ATP phosphoribosyltransferase
90	ADSK	adenylyl sulfate kinase	y000154	adenylyl-sulfate kinase	R127	adenylyl-sulfate kinase
91	BPNT	3 5 bisphosphate nucleotidase	y000032	3',5'-bisphosphate nucleotidase	R28	3',5'-bisphosphate nucleotidase
92	CYSS	cysteine synthase	y000312	cysteine synthase	R247	cysteine synthase
93	PAPSR	phosphoadenylyl sulfate reductase thioredoxin	y000883	phosphoadenylyl-sulfate reductase (thioredoxin)	R633	phosphoadenylyl-sulfate reductase (thioredoxin)
94	BTNt2i	Biotin uptake	y001119	biotin uptake	R824	biotin uptake
95	BTSr	biotin synthase	y000229	biotin synthase	R174	biotin synthase
96	C22STDS	C 22 sterol desaturase NADP	y000233	C-22 sterol desaturase (NADP)	R177	C-22 sterol desaturase (NADP)
97	SLFAT	sulfate adenylyltransferase ADP	y001025	sulfate adenylyltransferase	R744	sulfate adenylyltransferase (ADP)
98	SADT	sulfate adenylyltransferase	y001025	sulfate adenylyltransferase	R743	sulfate adenylyltransferase
99	SULR	sulfite reductase NADPH2	y001027	sulfite reductase (NADPH2)	R745	sulfite reductase (NADPH2)
100	ACACT1	acetyl CoA C acetyltransferase	y000103	acetyl-CoA C-acetyltransferase	R82	acetyl-CoA C-acetyltransferase
101	C5STDS	C 5 sterol desaturase	y000242	C-5 sterol desaturase	R186	C-5 sterol desaturase
102	C8STI	C 8 sterol isomerase	y000243	C-8 sterol isomerase	R187	C-8 sterol isomerase
103	CAT	catalase	y000255	catalase	R194	catalase
104	CERH124	Ceramide 1 hydroxylase 24C	y000259	ceramide-1 hydroxylase (24C)	R198	ceramide-1 hydroxylase (24C)
105	CERH126	Ceramide 1 hydroxylase 26C	y000261	ceramide-1 hydroxylase (26C)	R200	ceramide-1 hydroxylase (26C)
106	CERS124	Ceramide 1 synthase 24C	y000263	ceramide-1 synthase (24C)	R202	ceramide-1 synthase (24C)
107	CERS126	Ceramide 1 synthase 26C	y000264	ceramide-1 synthase (26C)	R203	ceramide-1 synthase (26C)
108	CERS224	Ceramide 2 synthase 24C	y000265	ceramide-2 synthase (24C)	R204	ceramide-2 synthase (24C)
109	CERS2_24	Ceramide 2 synthase 24C	y000265	ceramide-2 synthase (24C)	R204	ceramide-2 synthase (24C)
110	CERS226	Ceramide 2 synthase 26C	y000266	ceramide-2 synthase (26C)	R205	ceramide-2 synthase (26C)
111	CERS2_26	Ceramide 2 synthase 26C	y000266	ceramide-2 synthase (26C)	R205	ceramide-2 synthase (26C)
112	CERS324	Ceramide 3 synthase 24C	y000267	ceramide-3 synthase (24C)	R206	ceramide-3 synthase (24C)
113	CERS326	Ceramide 3 synthase 26C	y000268	ceramide-3 synthase (26C)	R207	ceramide-3 synthase (26C)
114	CHLPCTD	choline phosphate cytididyltransferase	y000274	choline phosphate cytididyltransferase	R213	choline phosphate cytididyltransferase
115	CHOLK	Choline kinase	y000273	choline kinase	R212	choline kinase
116	FAS160COA	fatty acyl CoA synthase n C160CoA	y002140	fatty-acyl-CoA synthase (n-C16:0CoA)	R1392	fatty-acyl-CoA synthase (n-C16:0CoA)
117	FAS180COA	fatty acyl CoA synthase n C180CoA	y002141	fatty-acyl-CoA synthase (n-C18:0CoA)	R1393	fatty-acyl-CoA synthase (n-C18:0CoA)
118	CHTNDA	chitin deacetylase	y000271	chitin deacetylase	R210	chitin deacetylase
119	CHTNS	chitin synthase	y000272	chitin synthase	R211	chitin synthase
120	FTHFL	formate tetrahydrofolate ligase	y000446	formate-tetrahydrofolate ligase	R309	formate-tetrahydrofolate ligase
121	CPPPGO	coproporphyrinogen oxidase O2 required	y000304	coproporphyrinogen oxidase (O2 required)	R240	coproporphyrinogen oxidase (O2 required)
122	CSNAT	carnitine O acetyltransferase	y000252	carnitine O-acetyltransferase	R191	carnitine O-acetyltransferase
123	CSND	Cytosine deaminase	y000318	cytosine deaminase	R252	cytosine deaminase
124	CTPS1	CTP synthase NH3	y000307	CTP synthase (NH3)	R242	CTP synthase (NH3)
125	CTPS2	CTP synthase glutamine	y000306	CTP synthase (glutamine)	R241	CTP synthase (glutamine)
126	MAN1PT	mannose 1 phosphate guanylyltransferase	y000722	mannose-1-phosphate guanylyltransferase	R540	mannose-1-phosphate guanylyltransferase
127	CYSTGL	cystathionine g lyase	y000310	cystathionine g-lyase	R245	cystathionine g-lyase
128	CYSTL	cystathionine b lyase	y000308	cystathionine b-lyase	R243	cystathionine b-lyase
129	CYSTRS	Cysteinyl tRNA synthetase	y000313	cysteinyl-tRNA synthetase	R248	cysteinyl-tRNA synthetase
130	CYSTS	cystathionine beta synthase	y000309	cystathionine beta-synthase	R244	cystathionine beta-synthase
131	CYTD	cytidine deaminase	y000314	cytidine deaminase	R249	cytidine deaminase
132	CYTDK2	cytidine kinase GTP	y000315	cytidine kinase (GTP)	R250	cytidine kinase (GTP)
133	CYTK1	cytidylate kinase CMP	y001703	cytidylate kinase (CMP)	R1059	cytidylate kinase (CMP)
134	CYTK2	cytidylate kinase dCMP	y001704	cytidylate kinase (dCMP)	R1060	cytidylate kinase (dCMP)
135	DADK	deoxyadenylate kinase	y001729	deoxyadenylate kinase	R1085	deoxyadenylate kinase
136	MAN6PI	mannose 6 phosphate isomerase	y000723	mannose-6-phosphate isomerase	R541	mannose-6-phosphate isomerase
137	PMANM	phosphomannomutase	y000902	phosphomannomutase	R644	phosphomannomutase
138	DB4PS	3 4 Dihydroxy 2 butanone 4 phosphate synthase	y000038	3,4-dihydroxy-2-butanone-4-phosphate synthase	R34	3,4-dihydroxy-2-butanone-4-phosphate synthase
139	DBTSr	dethiobiotin synthase	y000335	dethiobiotin synthase	R266	dethiobiotin synthase
140	DCMPDA	dCMP deaminase	y000326	dCMP deaminase	R258	dCMP deaminase
141	DCTPD	dCTP deaminase	y000327	dCTP deaminase	R259	dCTP deaminase
142	DCYTD	deoxycytidine deaminase	y000329	deoxycytidine deaminase	R260	deoxycytidine deaminase
143	GLUDy	glutamate dehydrogenase NADP	y000471	glutamate dehydrogenase (NADP)	R330	glutamate dehydrogenase (NADP)
144	ANS	anthranilate synthase	y000203	anthranilate synthase	R148	anthranilate synthase
145	GLNS	glutamine synthetase	y000476	glutamine synthetase	R334	glutamine synthetase
146	G3PD1ir	glycerol 3 phosphate dehydrogenase NAD	y000491	glycerol-3-phosphate dehydrogenase (NAD)	R348	glycerol-3-phosphate dehydrogenase (NAD)
147	DGK1	deoxyguanylate kinase dGMPATP	y000330	deoxyguanylate kinase (dGMP:ATP)	R261	deoxyguanylate kinase (dGMP:ATP)
148	DHAK	dihydroxyacetone kinase	y000354	dihydroxyacetone kinase	R281	dihydroxyacetone kinase
149	DHORD	dihydoorotic acid dehydrogenase	y000453	dihydoorotic acid dehydrogenase	R316	dihydoorotic acid dehydrogenase
150	DHORTS	dihydroorotase	y000349	dihydroorotase	R276	dihydroorotase
151	PGCD	phosphoglycerate dehydrogenase	y000891	phosphoglycerate dehydrogenase	R641	phosphoglycerate dehydrogenase
152	PSERT	phosphoserine transaminase	y000918	phosphoserine transaminase	R660	phosphoserine transaminase
153	PSP_L	phosphoserine phosphatase L serine	y000917	phosphoserine phosphatase (L-serine)	R659	phosphoserine phosphatase (L-serine)
154	ENO	enolase	y000366	enolase	R292	enolase
155	DIPS	diphthine synthase	y000359	diphthine synthase	R286	diphthine synthase
156	DMATT	dimethylallyltranstransferase	y000355	dimethylallyltranstransferase	R282	dimethylallyltranstransferase
157	DNMPPA	Dihydroneopterin monophosphate dephosphorylase	y000348	dihydroneopterin monophosphate dephosphorylase	R275	dihydroneopterin monophosphate dephosphorylase
158	DOLK	Dolichol kinase	y000360	dolichol kinase	R287	dolichol kinase
159	FBA	fructose bisphosphate aldolase	y000450	fructose-bisphosphate aldolase	R313	fructose-bisphosphate aldolase
160	G6PI	Glucose 6 phosphate isomerase	y000467	glucose-6-phosphate isomerase	R326	glucose-6-phosphate isomerase
161	PGI	glucose 6 phosphate isomerase	y000467	glucose-6-phosphate isomerase	R326	glucose-6-phosphate isomerase
162	G6PI2	Glucose 6 phosphate isomerase	y000467	glucose-6-phosphate isomerase	R326	glucose-6-phosphate isomerase
163	GAPD	glyceraldehyde 3 phosphate dehydrogenase	y000486	glyceraldehyde-3-phosphate dehydrogenase	R344	glyceraldehyde-3-phosphate dehydrogenase
164	DPCOAK	dephospho CoA kinase	y000334	dephospho-CoA kinase	R265	dephospho-CoA kinase
165	DPGM	Diphosphoglyceromutase	y000356	diphosphoglyceromutase	R283	diphosphoglyceromutase
166	DPR	2 dehydropantoate 2 reductase	y000019	2-dehydropantoate 2-reductase	R16	2-dehydropantoate 2-reductase
167	DRBK	Deoxyribokinase	y000332	deoxyribokinase	R263	deoxyribokinase
168	DTMPK	dTMP kinase	y000363	dTMP kinase	R290	dTMP kinase
169	DUTPDP	dUTP diphosphatase	y000364	dUTP diphosphatase	R291	dUTP diphosphatase
170	DXHPScm	deoxyhypusine synthase cytosolicmitochondrial	y000331	deoxyhypusine synthase, cytosolic/mitochondrial	R262	deoxyhypusine synthase, cytosolic/mitochondrial
171	EHGLAT	L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase	y000681	L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	R506	L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase
172	EHGLATp	L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase peroxisomal	y000681	L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	R506	L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase
173	HEX7	hexokinase D fructoseATP	y000533	hexokinase (D-fructose:ATP)	R386	hexokinase (D-fructose:ATP)
174	PDHm	pyruvate dehydrogenase	y000961	pyruvate dehydrogenase	R693	pyruvate dehydrogenase
175	PFK	phosphofructokinase	y000886	phosphofructokinase	R636	phosphofructokinase
176	PFK_2	Phosphofructokinase	y000886	phosphofructokinase	R636	phosphofructokinase
177	ETHAK	Ethanolamine kinase	y000368	ethanolamine kinase	R293	ethanolamine kinase
178	EX_13BDglcn_LPAREN_e_RPAREN_	1 3 beta D Glucan exchange	y001542	(1-3)-beta-D-glucan exchange	R941	(1-3)-beta-D-glucan exchange
179	EX_8aonn_LPAREN_e_RPAREN_	8 Amino 7 oxononanoate exchange	y001629	8-amino-7-oxononanoate exchange	R994	8-amino-7-oxononanoate exchange
180	EX_abt_LPAREN_e_RPAREN_	L Arabinitol exchange	y001875	L-arabinitol exchange	R1198	L-arabinitol exchange
181	EX_ac_LPAREN_e_RPAREN_	Acetate exchange	y001634	acetate exchange	R999	acetate exchange
182	EX_ade_LPAREN_e_RPAREN_	Adenine exchange	y001639	adenine exchange	R1003	adenine exchange
183	EX_adn_LPAREN_e_RPAREN_	Adenosine exchange	y001643	adenosine exchange	R1007	adenosine exchange
184	EX_akg_LPAREN_e_RPAREN_	2 Oxoglutarate exchange	y001586	2-oxoglutarate exchange	R964	2-oxoglutarate exchange
185	EX_ala_L_LPAREN_e_RPAREN_	L Alanine exchange	y001873	L-alanine exchange	R1196	L-alanine exchange
186	EX_alltn_LPAREN_e_RPAREN_	Allantoin exchange	y001649	allantoin exchange	R1012	allantoin exchange
187	EX_alltt_LPAREN_e_RPAREN_	Allantoate exchange	y001648	allantoate exchange	R1011	allantoate exchange
188	EX_amet_LPAREN_e_RPAREN_	S Adenosyl L methionine exchange	y002043	S-adenosyl-L-methionine exchange	R1319	S-adenosyl-L-methionine exchange
189	EX_arab_D_LPAREN_e_RPAREN_	D Arabinose exchange	y001706	D-arabinose exchange	R1062	D-arabinose exchange
190	EX_arab_L_LPAREN_e_RPAREN_	L Arabinose exchange	y001878	L-arabinose exchange	R1201	L-arabinose exchange
191	EX_arg_L_LPAREN_e_RPAREN_	L Arginine exchange	y001879	L-arginine exchange	R1202	L-arginine exchange
192	EX_asn_L_LPAREN_e_RPAREN_	L Asparagine exchange	y001880	L-asparagine exchange	R1203	L-asparagine exchange
193	EX_asp_L_LPAREN_e_RPAREN_	L Aspartate exchange	y001881	L-aspartate exchange	R1204	L-aspartate exchange
194	EX_btn_LPAREN_e_RPAREN_	Biotin exchange	y001671	biotin exchange	R1029	biotin exchange
195	EX_chol_LPAREN_e_RPAREN_	Choline exchange	y001683	choline exchange	R1041	choline exchange
196	EX_crn_LPAREN_e_RPAREN_	L Carnitine exchange	y001545	(R)-carnitine exchange	R943	(R)-carnitine exchange
197	EX_csn_LPAREN_e_RPAREN_	Cytosine exchange	y001705	cytosine exchange	R1061	cytosine exchange
198	EX_cys_L_LPAREN_e_RPAREN_	L Cysteine exchange	y001883	L-cysteine exchange	R1206	L-cysteine exchange
199	EX_cytd_LPAREN_e_RPAREN_	Cytidine exchange	y001702	cytidine exchange	R1058	cytidine exchange
200	EX_dann_LPAREN_e_RPAREN_	7 8 Diaminononanoate exchange	y001627	7,8-diaminononanoate exchange	R992	7,8-diaminononanoate exchange
201	EX_dcyt_LPAREN_e_RPAREN_	Deoxycytidine exchange	y001730	deoxycytidine exchange	R1086	deoxycytidine exchange
202	EX_dttp_LPAREN_e_RPAREN_	dTTP exchange	y001749	dTTP exchange	R1102	dTTP exchange
203	EX_ergst_LPAREN_e_RPAREN_	Ergosterol exchange	y001757	ergosterol exchange	R1108	ergosterol exchange
204	EX_etoh_LPAREN_e_RPAREN_	Ethanol exchange	y001761	ethanol exchange	R1112	ethanol exchange
205	EX_fmn_LPAREN_e_RPAREN_	FMN exchange	y001791	FMN exchange	R1126	FMN exchange
206	EX_for_LPAREN_e_RPAREN_	Formate exchange	y001793	formate exchange	R1128	formate exchange
207	EX_fru_LPAREN_e_RPAREN_	D Fructose exchange	y001709	D-fructose exchange	R1065	D-fructose exchange
208	EX_gal_LPAREN_e_RPAREN_	D Galactose exchange	y001710	D-galactose exchange	R1066	D-galactose exchange
209	EX_gam6p_LPAREN_e_RPAREN_	D Glucosamine 6 phosphate exchange	y001651	alpha-D-glucosamine 6-phosphate exchange	R1014	alpha-D-glucosamine 6-phosphate exchange
210	EX_gcald_LPAREN_e_RPAREN_	Glycolaldehyde exchange	y001814	glycolaldehyde exchange	R1147	glycolaldehyde exchange
211	EX_glc_LPAREN_e_RPAREN_	D Glucose exchange	y001714	D-glucose exchange	R1070	D-glucose exchange
212	EX_gln_L_LPAREN_e_RPAREN_	L Glutamine exchange	y001891	L-glutamine exchange	R1213	L-glutamine exchange
213	EX_glu_L_LPAREN_e_RPAREN_	L Glutamate exchange	y001889	L-glutamate exchange	R1211	L-glutamate exchange
214	EX_gly_LPAREN_e_RPAREN_	Glycine exchange	y001810	glycine exchange	R1143	glycine exchange
215	EX_glyc_LPAREN_e_RPAREN_	Glycerol exchange	y001808	glycerol exchange	R1141	glycerol exchange
216	EX_gsn_LPAREN_e_RPAREN_	Guanosine exchange	y001820	guanosine exchange	R1153	guanosine exchange
217	EX_gua_LPAREN_e_RPAREN_	Guanine exchange	y001818	guanine exchange	R1151	guanine exchange
218	EX_h_LPAREN_e_RPAREN_	H exchange	y001832	H+ exchange	R1164	H+ exchange
219	EX_his_L_LPAREN_e_RPAREN_	L Histidine exchange	y001893	L-histidine exchange	R1215	L-histidine exchange
220	EX_hxan_LPAREN_e_RPAREN_	Hypoxanthine exchange	y001841	hypoxanthine exchange	R1173	hypoxanthine exchange
221	EX_ile_L_LPAREN_e_RPAREN_	L Isoleucine exchange	y001897	L-isoleucine exchange	R1217	L-isoleucine exchange
222	EX_inost_LPAREN_e_RPAREN_	myo Inositol exchange	y001947	myo-inositol exchange	R1263	myo-inositol exchange
223	EX_ins_LPAREN_e_RPAREN_	Inosine exchange	y001847	inosine exchange	R1176	inosine exchange
224	EX_lac_L_LPAREN_e_RPAREN_	L Lactate exchange	y001546	(R)-lactate exchange	R944	(R)-lactate exchange
225	EX_leu_L_LPAREN_e_RPAREN_	L Leucine exchange	y001899	L-leucine exchange	R1219	L-leucine exchange
226	EX_lys_L_LPAREN_e_RPAREN_	L Lysine exchange	y001900	L-lysine exchange	R1220	L-lysine exchange
227	EX_mal_L_LPAREN_e_RPAREN_	L Malate exchange	y001552	(S)-malate exchange	R949	(S)-malate exchange
228	EX_malt_LPAREN_e_RPAREN_	Maltose exchange	y001931	maltose exchange	R1249	maltose exchange
229	EX_man_LPAREN_e_RPAREN_	D Mannose exchange	y001715	D-mannose exchange	R1071	D-mannose exchange
